sor2@szpitalwysmaz.pl;Szpitalny oddział ratunkowy;PODLASKIE;Wysokie Mazowieckie;18-200;ul.Szpitalna 5
sor@spzoz-bielsk.pl;Szpitalny oddział ratunkowy;PODLASKIE;Bielsk Podlaski;17-100;ul.Kleszczelowska 1
ppienzin@spzozhajnowka.pl;Szpitalny oddział ratunkowy;PODLASKIE;Hajnówka;17-200;ul.Doc. Adama Dowgirda 9
sor@szpitalsokolka.pl;Szpitalny oddział ratunkowy;PODLASKIE;Sokółka;16-100;ul.gen. Władysława Sikorskiego 40
sor@sniadecja.pl;Szpitalny oddział ratunkowy;PODLASKIE;Białystok;15-950;ul.M. Curie-Skłodowskiej 26
sor@szpital-grajewo.pl;Szpitalny oddział ratunkowy;PODLASKIE;Grajewo;19-200;ul.Konstytucji 3-go Maja 34
sor@szpital.suwalki.pl;Szpitalny oddział ratunkowy;PODLASKIE;Suwałki;16-400;ul.Szpitalna 60
sor@szpital-lomza.pl;Szpitalny oddział ratunkowy;PODLASKIE;Łomża;18-404;ul.Aleja Józefa Piłsudskiego 11
sor-usk@uskwb.pl;Szpitalny oddział ratunkowy;PODLASKIE;Białystok;15-276;ul.M. Curie-Skłodowskiej 24A
sor@udsk.pl;Szpitalny oddział ratunkowy dla dzieci;PODLASKIE;Białystok;15-274;ul.Jerzego Waszyngtona 17
sor@spzoz.augustow.pl;Szpitalny oddział ratunkowy;PODLASKIE;Augustów;16-300;ul.Szpitalna 12
izbap@szpitalzambrow.pl;Szpitalny oddział ratunkowy;PODLASKIE;Zambrów;18-300;ul.Papieża Jana Pawła II 3
dyrekcja@szpital-strusia.poznan.pl;Centrum urazowe;WIELKOPOLSKIE;Poznań;61-285;ul.Szwajcarska 3
sor@szpital-trzcianka.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Trzcianka;64-980;ul.gen. Władysława Sikorskiego 9
poczta@szpitalpomnik.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Gniezno;62-200;ul.św. Jana 9
ratownictwo@szpitaljarocin.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Jarocin;63-200;ul.Szpitalna 1
sekretariat@szpital.kalisz.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Kalisz;62-800;ul.Poznańska 79
sekretariat@szpital.kepno.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Kępno;63-600;ul.Szpitalna 7
sor@szpital-konin.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Konin;62-504;ul.Szpitalna 45
sor@szpital.koscian.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Kościan;64-000;ul.Szpitalna 7
spzoz@krotoszyn.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Krotoszyn;63-700;ul.Młyńska 2
wsz@wsz.leszno.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Leszno;64-100;ul.Jana Kiepury 45
spzozmiedzychod@spzoz-miedzychod.com.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Międzychód;64-400;ul.Szpitalna 10
sekretariat@szpital-nowytomysl.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Nowy Tomyśl;64-300;ul.Poznańska 30
szpital@szpital.osw.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Ostrów Wielkopolski;63-400;ul.Bolesława Limanowskiego 20
sor@szpital.pila.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Piła;64-920;ul.Rydygiera Ludwika 1
sekretariat@szpitalpleszew.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Pleszew;63-300;ul.Poznańska 125A
sor@lutycka.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Poznań;60-479;ul.Juraszów 7
sor@szpital-strusia.poznan.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Poznań;61-285;ul.Szwajcarska 3
sekretariat@cmhcp.eu;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Poznań;61-485;ul.28 Czerwca 1956 r. 194
sor@szpitalwpuszczykowie.com.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Puszczykowo;62-041;ul.Józefa Ignacego Kraszewskiego 11
pogotowie@szamotuly.med.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Szamotuły;64-500;ul.Sukiennicza 13
sor@szpitalsredzki.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Środa Wielkopolska;63-000;ul.Żwirki i Wigury 10
sekretariat@szpital-srem.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Śrem;63-100;ul.Józefa Chełmońskiego 1
sor@szpitalwagrowiec.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Wągrowiec;62-100;ul.Kościuszki 74
sekretariat@szpital.zlotow.pl;Szpitalny oddział ratunkowy;WIELKOPOLSKIE;Złotów;77-400;ul.Szpitalna 28
ratunkowy@szpital-bartoszyce.pl;Szpitalny oddział ratunkowy;WARMIŃSKO-MAZURSKIE;Bartoszyce;11-200;ul.Kardynała Wyszyńskiego 11
sor@wss.olsztyn.pl;Szpitalny oddział ratunkowy;WARMIŃSKO-MAZURSKIE;Olsztyn;10-561;ul.Żołnierska 18
sor@spzoz-dzialdowo.pl;Szpitalny oddział ratunkowy;WARMIŃSKO-MAZURSKIE;Działdowo;13-200;ul.Leśna 1
izba@szpital.elblag.pl;Szpitalny oddział ratunkowy;WARMIŃSKO-MAZURSKIE;Elbląg;82-300;ul.Królewiecka 146
sorlek@1wszk.elk.pl;Szpitalny oddział ratunkowy;LUBELSKIE;Lublin;20-049;ul.aleje Racławickie 23
izbaprzyjec@szpital.ilawa.pl;Szpitalny oddział ratunkowy;WARMIŃSKO-MAZURSKIE;Iława;14-200;ul.gen. Władysława Andersa 3
sor@szpital-mragowo.pl;Szpitalny oddział ratunkowy;WARMIŃSKO-MAZURSKIE;Mrągowo;11-700;ul.Wolności 12
sor@wssd.olsztyn.pl;Szpitalny oddział ratunkowy dla dzieci;WARMIŃSKO-MAZURSKIE;Olsztyn;10-561;ul.Żołnierska 18 a
sek.sor@poliklinika.net;Szpitalny oddział ratunkowy;WARMIŃSKO-MAZURSKIE;Olsztyn;10-228;al.Aleja Wojska Polskiego 37        
d.pijewski@szpitalpisz.pl;Szpitalny oddział ratunkowy;WARMIŃSKO-MAZURSKIE;Pisz;12-200;ul.Henryka Sienkiewicza 2
szpital@wszzkielce.pl;Szpitalny oddział ratunkowy;ŚWIĘTOKRZYSKIE;Kielce;25-736;ul.Grunwaldzka 45
sekretar@zoz.konskie.pl;Szpitalny oddział ratunkowy;ŚWIĘTOKRZYSKIE;Końskie;26-200;ul.Gimnazjalna 41B
sekretariat@szpitalkielecki.pl;Szpitalny oddział ratunkowy;ŚWIĘTOKRZYSKIE;Kielce;25-316;ul.Generała Tadeusza Kościuszki 25
zoz@zoz.com.pl;Szpitalny oddział ratunkowy;ŚWIĘTOKRZYSKIE;Skarżysko-Kamienna;26-110;ul.Szpitalna 1
info@szpital.starachowice.pl;Szpitalny oddział ratunkowy;ŚWIĘTOKRZYSKIE;Starachowice;27-200;ul.Batalionów Chłopskich 6
